cod_label;label
desc.basket_value.r.pc;Índice de horas de trabalho necessárias para a produção da cesta de consumo dos trabalhadores (ano base = 2000)
desc.capital_depreciation.s.us;Depreciação do capital em USD
desc.capital_stock.s.cu;"Estoque de capital em dólares constantes (ano base: WIODr13 = 1995; WIODr16 = 2000)"
desc.capital_stock.s.us;Estoque de capital em USD
desc.compensation.empe.s.us;Soma dos salários pagos aos trabalhadores assalariados em USD
desc.complex_labour_multiplier.emp.r.un;Multiplicador do trabalho complexo
desc.complex_labour_multiplier.empe.r.un;Multiplicador do trabalho complexo dos trabalhadores assalariados
desc.exchange.r.us;Taxa de câmbio (moeda nacional/USD)
desc.exchange.r.id;Índice de variação da taxa de câmbio (ano base = 2000)
desc.gdp.s.du;Produto Interno Bruto em preços diretos - USD (preços que expressam os valores)
desc.gdp.s.mv;Produto Interno Bruto em magnitude de valor
desc.gdp.s.us;Produto Interno Bruto em USD corrente
desc.gdp.p.s.us;Produto Interno Bruto dos setores produtivos em USD
desc.gross_output.s.du;Valor-produto total em preços diretos - USD (preços que expressam os valores)
desc.gross_output.s.mv;Valor-produto total
desc.gross_output.s.us;Valor-produto total em USD
desc.go_price.r.id;"Índice de preços do Produto Total (ano base: WIODr13 = 1995; WIODr16 = 2000)"
desc.abstract_labour.emp.s.mv;Horas de trabalho realizado pela população ocupada considerando-se a redução do trabalho complexo em simples
desc.abstract_labour.empe.s.mv;Horas de trabalho realizado por assalariado considerando-se a redução do trabalho complexo em simples
desc.compensation.emp.s.us;Soma da remuneração paga às população ocupadas em USD
desc.labour_force_value.m.mv;Valor médio da força de trabalho em magnitude de valor - tempo de trabalho dispendido para a produção de cesta de consumo que cada trabalhador assalariado consome em média durante um ano
desc.empe.s.un;Número de trabalhadores assalariados
desc.emp.s.un;Número de população ocupadas
desc.appropriated_profit.r.pc;Taxa de lucro líquido (lucro menos depreciação sobre capital fixo)
desc.surplus_value.empe.r.pc;Taxa de exploração dos trabalhadores assalariados: (horas de trabalho realizado - valor da força de trabalho) / valor da força de trabalho
desc.surplus_value.empe_hs.r.pc;Taxa de exploração dos trabalhadores de alta qualificação
desc.surplus_value.empe_ls.r.pc;Taxa de exploração dos trabalhadores de baixa qualificação
desc.surplus_value.empe_ms.r.pc;Taxa de exploração dos trabalhadores de média qualificação
desc.surplus_value.emp.r.pc;"Equivalente à taxa de ""exploração"" da população ocupada"
desc.surplus_value.emp_p.r.pc;"Equivalente à taxa de ""exploração"" da população ocupada (apenas setores produtivos)"
desc.labour_force_value.emp.s.mv;Total do valor de reprodução da população ocupada - tempo de trabalho dispendido para a produção de cesta de consumo que  toda a população ocupada consome durante um ano
desc.labour_force_value.emp.m.mv;Valor de reprodução da população ocupada - tempo de trabalho dispendido para a produção de cesta de consumo que  cada pessoa ocupada consome em média durante um ano
desc.compensation.empe_hs.r.pc;Parcela da remuneração dos trabalhadores assalariados de alta qualificação (% do total da remuneração)
desc.hours_worked.empe_hs.r.pc;Parcela das horas trabalhadas por trabalhadores assalariados de alta qualificação (% do total de horas trabalhadas)
desc.hours_worked.empe_ls.r.pc;Parcela das horas trabalhadas por trabalhadores assalariados de baixa qualificação (% do total de horas trabalhadas)
desc.hours_worked.empe_ms.r.pc;Parcela das horas trabalhadas por trabalhadores assalariados de média qualificação (% do total de horas trabalhadas)
desc.compensation.empe_ls.r.pc;Parcela da remuneração dos trabalhadores assalariados de baixa qualificação (% do total da remuneração)
desc.compensation.empe_ms.r.pc;Parcela da remuneração dos trabalhadores assalariados de média qualificação (% do total da remuneração)
desc.exports.s.mv;Exportações totais em magnitude de valor
desc.exports.s.us;Exportações totais em USD
desc.hours_worked.empe.s.hr;Total de horas trabalhadas por trabalhadores assalariados
desc.hours_worked.emp.s.hr;Total de horas trabalhadas pela população ocupada
desc.imports.s.mv;Importações totais em magnitude de valor
desc.imports.s.us;Importações totais em USD
desc.labour_force_value.s.mv;Valor total da força de trabalho em magnitude de valor - tempo de trabalho dispendido para a produção de cesta de consumo que todos os trabalhadores assalariados consomem durante um ano
desc.profit.s.us;Lucros totais em USD
desc.compensation.empe.s.cu;Soma dos salários pagos aos trabalhadores assalariados em USD constantes (ano base = 2000)
desc.compensation.emp.s.cu;Soma da remuneração paga às população ocupadas em USD constantes (ano base = 2000)
desc.trade_balance.s.mv;Saldo da balança comercial em magnitude de valor
desc.trade_balance.s.us;Saldo da balança comercial em USD
desc.value.m.mv;Tempo de trabalho me média dispendido para a produção de cada USD 1,00 do produto total
desc.trade_transfers.s.mv;Transferência de valor via trocas internacionais - horas de trabalho transferidas sem equivalente
desc.trade_transfers.p.s.mv;Transferência de valor via trocas internacionais dos setores produtivos - horas de trabalho transferidas sem equivalente
desc.trade_transfers.p.m.pc;Transferência de valor via trocas internacionais dos setores produtivos (% do produto de valor do trabalho anual total)
desc.trade_transfers.u.s.mv;Transferência de valor via trocas internacionais dos setores improdutivos - horas de trabalho transferidas sem equivalente
desc.abstract_labour.empe.m.mv;"Magnitude of value ""created"" by employee in each year. Includes productive and unproductive workers."
desc.abstract_labour.emp.m.mv;Magnitude of value created by persons engaged in each year. Includes productive and unproductive workers.
group.Others;Others
group.Capital;Capital
group.Wages and value of labour force;Wages and value of labour force
group.Product;Product
group.Labour and employment;Labour and employment
group.Rate of surplus value;Rate of surplus value
group.International trade;International trade
